t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.013,2025/09/23 16:27:35.268,67.4,0.0,21399.0,24564.0
0.113,2025/09/23 16:27:35.370,64.4,0.0,21403.0,24564.0
0.214,2025/09/23 16:27:35.471,85.0,53.0,21403.0,24564.0
0.315,2025/09/23 16:27:35.572,106.0,53.0,21403.0,24564.0
0.415,2025/09/23 16:27:35.672,127.0,98.0,21403.0,24564.0
0.516,2025/09/23 16:27:35.773,148.1,98.0,21403.0,24564.0
0.616,2025/09/23 16:27:35.873,169.1,98.0,21403.0,24564.0
0.717,2025/09/23 16:27:35.974,179.6,98.0,21403.0,24564.0
0.818,2025/09/23 16:27:36.075,188.6,98.0,21403.0,24564.0
0.918,2025/09/23 16:27:36.176,196.3,98.0,21403.0,24564.0
1.019,2025/09/23 16:27:36.276,202.8,98.0,21403.0,24564.0
1.120,2025/09/23 16:27:36.377,294.6,98.0,21403.0,24564.0
1.220,2025/09/23 16:27:36.477,295.1,98.0,21403.0,24564.0
1.321,2025/09/23 16:27:36.578,295.2,98.0,21403.0,24564.0
1.421,2025/09/23 16:27:36.678,295.3,98.0,21403.0,24564.0
1.522,2025/09/23 16:27:36.779,295.2,98.0,21403.0,24564.0
1.623,2025/09/23 16:27:36.880,295.2,98.0,21403.0,24564.0
1.729,2025/09/23 16:27:36.980,295.3,98.0,21403.0,24564.0
1.830,2025/09/23 16:27:37.086,295.3,98.0,21403.0,24564.0
1.931,2025/09/23 16:27:37.188,295.3,98.0,21403.0,24564.0
2.031,2025/09/23 16:27:37.289,295.4,98.0,21403.0,24564.0
2.132,2025/09/23 16:27:37.389,295.4,98.0,21403.0,24564.0
2.233,2025/09/23 16:27:37.490,294.5,98.0,21403.0,24564.0
2.333,2025/09/23 16:27:37.590,294.9,96.0,21403.0,24564.0
2.433,2025/09/23 16:27:37.690,295.1,96.0,21403.0,24564.0
2.534,2025/09/23 16:27:37.791,295.1,98.0,21403.0,24564.0
2.634,2025/09/23 16:27:37.892,295.1,98.0,21403.0,24564.0
2.735,2025/09/23 16:27:37.992,295.2,98.0,21403.0,24564.0
2.836,2025/09/23 16:27:38.093,295.3,98.0,21403.0,24564.0
2.936,2025/09/23 16:27:38.193,295.4,98.0,21403.0,24564.0
3.037,2025/09/23 16:27:38.294,295.5,98.0,21403.0,24564.0
3.137,2025/09/23 16:27:38.394,295.5,98.0,21403.0,24564.0
3.238,2025/09/23 16:27:38.495,295.6,98.0,21403.0,24564.0
3.338,2025/09/23 16:27:38.595,296.6,98.0,21403.0,24564.0
3.439,2025/09/23 16:27:38.696,296.3,98.0,21403.0,24564.0
3.539,2025/09/23 16:27:38.796,296.3,98.0,21403.0,24564.0
3.640,2025/09/23 16:27:38.897,296.2,98.0,21403.0,24564.0
3.740,2025/09/23 16:27:38.997,296.2,98.0,21403.0,24564.0
3.841,2025/09/23 16:27:39.098,296.0,98.0,21403.0,24564.0
3.941,2025/09/23 16:27:39.198,295.9,98.0,21403.0,24564.0
4.042,2025/09/23 16:27:39.299,295.7,98.0,21403.0,24564.0
4.143,2025/09/23 16:27:39.400,295.6,98.0,21403.0,24564.0
4.244,2025/09/23 16:27:39.501,295.5,98.0,21403.0,24564.0
4.345,2025/09/23 16:27:39.602,295.4,98.0,21403.0,24564.0
4.446,2025/09/23 16:27:39.702,294.5,98.0,21403.0,24564.0
4.547,2025/09/23 16:27:39.804,296.1,96.0,21403.0,24564.0
4.648,2025/09/23 16:27:39.904,296.1,96.0,21403.0,24564.0
4.749,2025/09/23 16:27:40.005,296.2,98.0,21403.0,24564.0
4.849,2025/09/23 16:27:40.106,296.2,98.0,21403.0,24564.0
4.950,2025/09/23 16:27:40.207,296.3,98.0,21403.0,24564.0
5.050,2025/09/23 16:27:40.307,296.5,98.0,21403.0,24564.0
5.151,2025/09/23 16:27:40.408,296.6,98.0,21403.0,24564.0
5.251,2025/09/23 16:27:40.508,296.7,98.0,21403.0,24564.0
5.352,2025/09/23 16:27:40.609,296.8,98.0,21403.0,24564.0
5.452,2025/09/23 16:27:40.709,296.8,98.0,21403.0,24564.0
5.553,2025/09/23 16:27:40.810,297.5,98.0,21403.0,24564.0
5.653,2025/09/23 16:27:40.910,295.7,98.0,21403.0,24564.0
5.754,2025/09/23 16:27:41.011,295.6,98.0,21403.0,24564.0
5.854,2025/09/23 16:27:41.111,295.5,98.0,21403.0,24564.0
5.955,2025/09/23 16:27:41.212,295.4,98.0,21403.0,24564.0
6.055,2025/09/23 16:27:41.312,295.4,98.0,21403.0,24564.0
6.156,2025/09/23 16:27:41.413,295.3,98.0,21403.0,24564.0
6.257,2025/09/23 16:27:41.514,295.2,98.0,21403.0,24564.0
6.357,2025/09/23 16:27:41.614,295.0,98.0,21403.0,24564.0
6.458,2025/09/23 16:27:41.715,295.0,98.0,21403.0,24564.0
6.558,2025/09/23 16:27:41.815,295.1,98.0,21403.0,24564.0
6.659,2025/09/23 16:27:41.916,295.4,98.0,21403.0,24564.0
6.759,2025/09/23 16:27:42.016,294.9,96.0,21403.0,24564.0
6.860,2025/09/23 16:27:42.117,295.2,96.0,21403.0,24564.0
6.960,2025/09/23 16:27:42.217,295.4,98.0,21403.0,24564.0
7.061,2025/09/23 16:27:42.318,295.6,98.0,21403.0,24564.0
7.162,2025/09/23 16:27:42.419,295.8,98.0,21403.0,24564.0
7.263,2025/09/23 16:27:42.520,295.8,98.0,21403.0,24564.0
7.364,2025/09/23 16:27:42.621,296.0,98.0,21403.0,24564.0
7.465,2025/09/23 16:27:42.722,296.2,98.0,21403.0,24564.0
7.566,2025/09/23 16:27:42.822,296.3,98.0,21403.0,24564.0
7.666,2025/09/23 16:27:42.923,296.4,98.0,21403.0,24564.0
7.767,2025/09/23 16:27:43.024,296.5,98.0,21403.0,24564.0
7.867,2025/09/23 16:27:43.124,297.1,98.0,21403.0,24564.0
7.968,2025/09/23 16:27:43.225,297.1,98.0,21403.0,24564.0
8.068,2025/09/23 16:27:43.326,297.1,98.0,21403.0,24564.0
8.169,2025/09/23 16:27:43.426,296.9,98.0,21403.0,24564.0
8.270,2025/09/23 16:27:43.527,296.8,98.0,21403.0,24564.0
8.370,2025/09/23 16:27:43.627,296.8,98.0,21403.0,24564.0
8.471,2025/09/23 16:27:43.728,296.8,98.0,21403.0,24564.0
8.571,2025/09/23 16:27:43.828,296.7,98.0,21403.0,24564.0
8.672,2025/09/23 16:27:43.929,296.7,98.0,21403.0,24564.0
8.772,2025/09/23 16:27:44.029,296.6,98.0,21403.0,24564.0
8.873,2025/09/23 16:27:44.130,296.4,98.0,21405.0,24564.0
8.973,2025/09/23 16:27:44.230,297.4,96.0,21405.0,24564.0
9.074,2025/09/23 16:27:44.331,297.4,96.0,21405.0,24564.0
9.175,2025/09/23 16:27:44.432,297.5,98.0,21405.0,24564.0
9.275,2025/09/23 16:27:44.532,297.6,98.0,21405.0,24564.0
9.376,2025/09/23 16:27:44.633,297.7,98.0,21405.0,24564.0
9.477,2025/09/23 16:27:44.733,297.6,98.0,21405.0,24564.0
9.577,2025/09/23 16:27:44.834,297.6,98.0,21405.0,24564.0
9.678,2025/09/23 16:27:44.935,297.7,98.0,21405.0,24564.0
9.778,2025/09/23 16:27:45.035,297.8,98.0,21405.0,24564.0
9.879,2025/09/23 16:27:45.136,297.8,98.0,21405.0,24564.0
9.979,2025/09/23 16:27:45.237,297.7,98.0,21405.0,24564.0
10.080,2025/09/23 16:27:45.337,296.5,98.0,21405.0,24564.0
10.181,2025/09/23 16:27:45.438,296.4,98.0,21405.0,24564.0
10.282,2025/09/23 16:27:45.539,296.1,98.0,21405.0,24564.0
10.383,2025/09/23 16:27:45.640,296.0,98.0,21405.0,24564.0
10.484,2025/09/23 16:27:45.741,295.9,98.0,21405.0,24564.0
10.585,2025/09/23 16:27:45.842,295.9,98.0,21405.0,24564.0
10.686,2025/09/23 16:27:45.943,295.8,98.0,21405.0,24564.0
10.786,2025/09/23 16:27:46.043,295.7,98.0,21405.0,24564.0
10.887,2025/09/23 16:27:46.144,295.6,98.0,21405.0,24564.0
10.987,2025/09/23 16:27:46.244,295.5,98.0,21405.0,24564.0
11.088,2025/09/23 16:27:46.345,295.5,98.0,21405.0,24564.0
11.188,2025/09/23 16:27:46.445,295.0,96.0,21405.0,24564.0
11.289,2025/09/23 16:27:46.546,295.1,96.0,21405.0,24564.0
11.389,2025/09/23 16:27:46.646,295.2,98.0,21405.0,24564.0
11.490,2025/09/23 16:27:46.747,295.3,98.0,21405.0,24564.0
11.591,2025/09/23 16:27:46.848,295.4,98.0,21405.0,24564.0
11.691,2025/09/23 16:27:46.948,295.6,98.0,21405.0,24564.0
11.792,2025/09/23 16:27:47.049,295.8,98.0,21405.0,24564.0
11.892,2025/09/23 16:27:47.149,296.0,98.0,21405.0,24564.0
11.993,2025/09/23 16:27:47.250,296.1,98.0,21405.0,24564.0
12.093,2025/09/23 16:27:47.350,296.3,98.0,21405.0,24564.0
12.194,2025/09/23 16:27:47.451,296.5,98.0,21405.0,24564.0
12.294,2025/09/23 16:27:47.551,297.1,98.0,21405.0,24564.0
12.395,2025/09/23 16:27:47.652,297.1,98.0,21405.0,24564.0
12.496,2025/09/23 16:27:47.753,297.0,98.0,21405.0,24564.0
12.596,2025/09/23 16:27:47.853,296.9,98.0,21405.0,24564.0
12.697,2025/09/23 16:27:47.954,296.7,98.0,21405.0,24564.0
12.797,2025/09/23 16:27:48.054,296.6,98.0,21405.0,24564.0
12.898,2025/09/23 16:27:48.155,296.4,98.0,21405.0,24564.0
12.999,2025/09/23 16:27:48.256,296.1,98.0,21405.0,24564.0
13.099,2025/09/23 16:27:48.356,296.1,98.0,21405.0,24564.0
13.201,2025/09/23 16:27:48.457,295.9,98.0,21405.0,24564.0
13.302,2025/09/23 16:27:48.558,295.7,98.0,21405.0,24564.0
13.403,2025/09/23 16:27:48.659,296.7,96.0,21405.0,24564.0
13.504,2025/09/23 16:27:48.760,296.8,96.0,21405.0,24564.0
13.604,2025/09/23 16:27:48.861,296.9,98.0,21405.0,24564.0
13.705,2025/09/23 16:27:48.962,297.1,98.0,21405.0,24564.0
13.805,2025/09/23 16:27:49.062,297.2,98.0,21405.0,24564.0
13.906,2025/09/23 16:27:49.163,297.3,98.0,21405.0,24564.0
14.006,2025/09/23 16:27:49.263,297.6,98.0,21405.0,24564.0
14.107,2025/09/23 16:27:49.364,297.7,98.0,21405.0,24564.0
14.207,2025/09/23 16:27:49.464,297.8,98.0,21405.0,24564.0
14.308,2025/09/23 16:27:49.565,298.1,98.0,21405.0,24564.0
14.409,2025/09/23 16:27:49.666,298.1,98.0,21405.0,24564.0
14.509,2025/09/23 16:27:49.766,296.9,98.0,21405.0,24564.0
14.610,2025/09/23 16:27:49.867,296.9,98.0,21405.0,24564.0
14.710,2025/09/23 16:27:49.967,296.8,98.0,21405.0,24564.0
14.811,2025/09/23 16:27:50.068,296.6,98.0,21405.0,24564.0
14.911,2025/09/23 16:27:50.168,296.4,98.0,21405.0,24564.0
15.012,2025/09/23 16:27:50.269,296.2,98.0,21405.0,24564.0
15.112,2025/09/23 16:27:50.369,296.1,98.0,21405.0,24564.0
15.213,2025/09/23 16:27:50.470,296.0,98.0,21405.0,24564.0
15.314,2025/09/23 16:27:50.571,295.9,98.0,21405.0,24564.0
15.414,2025/09/23 16:27:50.671,295.6,98.0,21405.0,24564.0
15.515,2025/09/23 16:27:50.772,295.6,98.0,21405.0,24564.0
15.615,2025/09/23 16:27:50.872,295.2,96.0,21405.0,24564.0
15.716,2025/09/23 16:27:50.973,295.3,96.0,21405.0,24564.0
15.816,2025/09/23 16:27:51.074,295.5,98.0,21405.0,24564.0
15.917,2025/09/23 16:27:51.174,295.9,98.0,21405.0,24564.0
16.018,2025/09/23 16:27:51.275,296.4,98.0,21405.0,24564.0
16.119,2025/09/23 16:27:51.375,296.7,98.0,21405.0,24564.0
16.219,2025/09/23 16:27:51.476,297.1,98.0,21405.0,24564.0
16.324,2025/09/23 16:27:51.577,297.5,98.0,21405.0,24564.0
16.425,2025/09/23 16:27:51.682,298.0,98.0,21405.0,24564.0
16.525,2025/09/23 16:27:51.783,298.4,98.0,21405.0,24564.0
16.626,2025/09/23 16:27:51.883,298.9,98.0,21405.0,24564.0
16.727,2025/09/23 16:27:51.984,298.6,98.0,21405.0,24564.0
16.827,2025/09/23 16:27:52.084,298.4,98.0,21405.0,24564.0
16.928,2025/09/23 16:27:52.185,298.1,98.0,21405.0,24564.0
17.028,2025/09/23 16:27:52.285,297.6,98.0,21405.0,24564.0
17.129,2025/09/23 16:27:52.386,297.1,98.0,21405.0,24564.0
17.229,2025/09/23 16:27:52.486,296.6,98.0,21405.0,24564.0
17.330,2025/09/23 16:27:52.587,296.1,98.0,21405.0,24564.0
17.430,2025/09/23 16:27:52.687,295.6,98.0,21405.0,24564.0
17.531,2025/09/23 16:27:52.788,295.0,98.0,21405.0,24564.0
17.631,2025/09/23 16:27:52.888,294.5,98.0,21405.0,24564.0
17.732,2025/09/23 16:27:52.989,295.5,96.0,21405.0,24564.0
17.832,2025/09/23 16:27:53.089,295.6,96.0,21405.0,24564.0
17.933,2025/09/23 16:27:53.190,296.0,98.0,21405.0,24564.0
18.033,2025/09/23 16:27:53.290,296.4,98.0,21405.0,24564.0
18.134,2025/09/23 16:27:53.391,296.7,98.0,21405.0,24564.0
18.234,2025/09/23 16:27:53.491,297.1,98.0,21405.0,24564.0
18.335,2025/09/23 16:27:53.592,297.3,98.0,21405.0,24564.0
18.435,2025/09/23 16:27:53.692,297.5,98.0,21405.0,24564.0
18.536,2025/09/23 16:27:53.793,297.8,98.0,21405.0,24564.0
18.636,2025/09/23 16:27:53.893,298.0,98.0,21405.0,24564.0
18.737,2025/09/23 16:27:53.994,298.4,98.0,21405.0,24564.0
18.838,2025/09/23 16:27:54.094,297.3,98.0,21405.0,24564.0
18.939,2025/09/23 16:27:54.195,297.4,98.0,21405.0,24564.0
19.040,2025/09/23 16:27:54.296,297.2,98.0,21405.0,24564.0
19.141,2025/09/23 16:27:54.397,297.0,98.0,21405.0,24564.0
19.241,2025/09/23 16:27:54.498,296.8,98.0,21405.0,24564.0
19.343,2025/09/23 16:27:54.599,296.7,98.0,21405.0,24564.0
19.443,2025/09/23 16:27:54.700,296.6,98.0,21405.0,24564.0
19.544,2025/09/23 16:27:54.801,296.5,98.0,21405.0,24564.0
19.644,2025/09/23 16:27:54.901,296.5,98.0,21405.0,24564.0
19.745,2025/09/23 16:27:55.002,296.5,98.0,21405.0,24564.0
19.845,2025/09/23 16:27:55.102,296.4,98.0,21405.0,24564.0
19.946,2025/09/23 16:27:55.203,295.9,96.0,21405.0,24564.0
20.046,2025/09/23 16:27:55.303,296.1,96.0,21405.0,24564.0
20.147,2025/09/23 16:27:55.404,296.2,98.0,21405.0,24564.0
20.247,2025/09/23 16:27:55.504,296.6,98.0,21405.0,24564.0
20.348,2025/09/23 16:27:55.605,296.7,98.0,21405.0,24564.0
20.448,2025/09/23 16:27:55.705,296.8,98.0,21405.0,24564.0
20.549,2025/09/23 16:27:55.806,296.9,98.0,21405.0,24564.0
20.649,2025/09/23 16:27:55.907,297.0,98.0,21405.0,24564.0
20.750,2025/09/23 16:27:56.007,297.1,98.0,21405.0,24564.0
20.851,2025/09/23 16:27:56.108,297.2,98.0,21405.0,24564.0
20.951,2025/09/23 16:27:56.208,297.2,98.0,21405.0,24564.0
21.052,2025/09/23 16:27:56.309,298.0,98.0,21405.0,24564.0
21.152,2025/09/23 16:27:56.409,297.9,98.0,21405.0,24564.0
21.253,2025/09/23 16:27:56.510,297.9,98.0,21405.0,24564.0
21.353,2025/09/23 16:27:56.610,297.7,98.0,21405.0,24564.0
21.454,2025/09/23 16:27:56.711,297.6,98.0,21405.0,24564.0
21.554,2025/09/23 16:27:56.811,297.5,98.0,21405.0,24564.0
21.655,2025/09/23 16:27:56.912,297.3,98.0,21405.0,24564.0
21.756,2025/09/23 16:27:57.013,297.1,98.0,21405.0,24564.0
21.856,2025/09/23 16:27:57.113,297.0,98.0,21405.0,24564.0
21.957,2025/09/23 16:27:57.214,296.8,98.0,21405.0,24564.0
